ID,Team,Status,Roles,HaveSettings,Hero,TwitchStream
Toyou,Seoul Dynasty,Active,Tank,TRUE,D.Va,https://www.twitch.tv/ow_toyou
Tsuna,Paris Eternal,Active,Damage,TRUE,Tracer,https://www.twitch.tv/Tsuna
TTuba,Washington Justice,Active,Damage,TRUE,Pharah,https://www.twitch.tv/ttuba99
Twilight,San Francisco Shock,Active,Support,TRUE,Ana,https://www.twitch.tv/twilight_x0x
Valentine,Boston Uprising,Active,Damage,TRUE,Doomfist,https://www.twitch.tv/214kbj
Vestola,Paris Eternal,Active,Tank,FALSE,D.Va,
Viol2t,San Francisco Shock,Active,Support,TRUE,Zenyatta,https://www.twitch.tv/viol2t_ow
Void,Shanghai Dragons,Active,Tank,TRUE,Sigma,https://www.twitch.tv/ow_void
WhoRU,Shanghai Dragons,Active,Damage,TRUE,Genji,https://www.twitch.tv/whoru823
Wya,Los Angeles Valiant,Active,Support,FALSE,Ana,
XZI,Dallas Fuel,Active,Damage,TRUE,McCree,https://www.twitch.tv/xzi_ow
Yaki,Florida Mayhem,Active,Damage,TRUE,Genji,https://www.twitch.tv/ysue3539
Yakpung,New York Excelsior,Active,Tank,TRUE,Reinhardt,https://www.twitch.tv/yakpung
Yveltal,Chengdu Hunters,Active,Support,TRUE,Mercy,https://www.twitch.tv/xzi_ow
